PortCode,MarketValue,as_of_date
217267,96018.90,2022-06-30
217267,99210.23,2022-07-29
217267,97056.01,2022-08-31
217267,94217.33,2022-09-30
217267,97048.01,2022-10-31
217267,101260.57,2022-11-30
217267,97424.79,2022-12-30
217267,102829.19,2023-01-31
217267,101144.59,2023-02-28
217267,100238.43,2023-03-31
217267,101852.56,2023-04-28
217267,98809.37,2023-05-31
217267,100139.85,2023-06-30
217267,101229.90,2023-07-31
217267,99275.78,2023-08-31
217267,97695.73,2023-09-29
217267,281.10,2023-10-31
217267,276.26,2023-11-30
217267,271.42,2023-12-29
217267,266.28,2024-01-31
217267,260.97,2024-02-29
217267,255.66,2024-03-28
217267,250.35,2024-04-30
217267,245.04,2024-05-31
217267,239.73,2024-06-28
228557,0.00,2021-04-30
228557,137128.58,2021-05-31
228557,142372.06,2021-06-30
228557,146502.10,2021-07-30
228557,150507.10,2021-08-31
228557,147494.92,2021-09-30
228557,151376.21,2021-10-29
228557,153321.51,2021-11-30
228557,157000.05,2021-12-31
228557,151799.45,2022-01-31
228557,149047.61,2022-02-28
228557,151495.59,2022-03-31
228557,142962.88,2022-04-29
228557,141916.78,2022-05-31
228557,134199.35,2022-06-30
228557,143923.70,2022-07-29
228557,141032.89,2022-08-31
228557,136597.26,2022-09-30
228557,140268.50,2022-10-31
228557,146582.91,2022-11-30
228557,139178.48,2022-12-30
228557,146586.74,2023-01-31
228557,144873.86,2023-02-28
228557,147116.83,2023-03-31
228557,148825.48,2023-04-28
228557,145851.69,2023-05-31
228557,151782.81,2023-06-30
228557,154830.52,2023-07-31
228557,154418.35,2023-08-31
228557,148656.69,2023-09-29
228557,146456.53,2023-10-31
228557,156884.74,2023-11-30
228557,162206.52,2023-12-29
228557,164287.71,2024-01-31
228557,170910.12,2024-02-29
228557,174737.04,2024-03-28
228557,169657.14,2024-04-30
228557,173080.30,2024-05-31
228557,177814.49,2024-06-28
229303,0.00,2023-06-30
229303,70280.13,2023-07-31
229303,70447.31,2023-08-31
229303,68897.71,2023-09-29
229303,67797.93,2023-10-31
229303,71834.92,2023-11-30
229303,73721.55,2023-12-29
229303,74183.04,2024-01-31
229303,76206.49,2024-02-29
229303,77985.53,2024-03-28
229303,76107.96,2024-04-30
229303,78257.92,2024-05-31
229303,79322.58,2024-06-28
233337,51328.60,2024-03-28
233337,51323.90,2024-04-30
233337,51208.22,2024-05-31
233337,51025.54,2024-06-28
A002T2,294361.23,2021-11-30
A002T2,292518.59,2021-12-31
A002T2,284451.66,2022-01-31
A002T2,277411.88,2022-02-28
A002T2,281557.48,2022-03-31
A002T2,261417.08,2022-04-29
A002T2,262686.27,2022-05-31
A002T2,236087.09,2022-06-30
A002T2,255618.32,2022-07-29
A002T2,251685.57,2022-08-31
A002T2,238651.56,2022-09-30
A002T2,257677.12,2022-10-31
A002T2,273808.23,2022-11-30
A002T2,257993.93,2022-12-30
A002T2,275208.35,2023-01-31
A002T2,273494.27,2023-02-28
A002T2,273812.53,2023-03-31
A002T2,272522.89,2023-04-28
A002T2,261521.08,2023-05-31
A002T2,274932.18,2023-06-30
A002T2,285953.03,2023-07-31
A002T2,284707.11,2023-08-31
A002T2,274320.61,2023-09-29
A002T2,259104.49,2023-10-31
A002T2,280148.87,2023-11-30
A002T2,299324.89,2023-12-29
A002T2,303376.31,2024-01-31
A002T2,320184.41,2024-02-29
A002T2,332917.51,2024-03-28
A002T2,309560.17,2024-04-30
A002T2,310092.96,2024-05-31
A002T2,314460.12,2024-06-28
A00BX3,21527.34,2022-04-29
A00BX3,21367.01,2022-05-31
A00BX3,19650.09,2022-06-30
A00BX3,20940.18,2022-07-29
A00BX3,20293.49,2022-08-31
A00BX3,18868.37,2022-09-30
A00BX3,20088.29,2022-10-31
A00BX3,21071.35,2022-11-30
A00BX3,19921.40,2022-12-30
A00BX3,21237.91,2023-01-31
A00BX3,20726.22,2023-02-28
A00BX3,21065.20,2023-03-31
A00BX3,21485.21,2023-04-28
A00BX3,21085.58,2023-05-31
A00BX3,22127.94,2023-06-30
A00BX3,22641.67,2023-07-31
A00BX3,22318.47,2023-08-31
A00BX3,21355.92,2023-09-29
A00BX3,20738.94,2023-10-31
A00BX3,22475.74,2023-11-30
A00BX3,23337.93,2023-12-29
A00BX3,23625.41,2024-01-31
A00BX3,24505.43,2024-02-29
A00BX3,25309.84,2024-03-28
A00BX3,24418.48,2024-04-30
A00BX3,25319.22,2024-05-31
A00BX3,25711.05,2024-06-28
A00G31,237829.72,2022-03-31
A00G31,223633.56,2022-04-29
A00G31,223703.34,2022-05-31
A00G31,206061.39,2022-06-30
A00G31,225330.28,2022-07-29
A00G31,221089.70,2022-08-31
A00G31,211200.08,2022-09-30
A00G31,221042.26,2022-10-31
A00G31,234302.40,2022-11-30
A00G31,220838.61,2022-12-30
A00G31,233535.93,2023-01-31
A00G31,231113.69,2023-02-28
A00G31,231594.77,2023-03-31
A00G31,232431.47,2023-04-28
A00G31,226462.63,2023-05-31
A00G31,238223.12,2023-06-30
A00G31,243904.90,2023-07-31
A00G31,241509.50,2023-08-31
A00G31,230492.10,2023-09-29
A00G31,223852.17,2023-10-31
A00G31,243646.74,2023-11-30
A00G31,255345.08,2023-12-29
A00G31,256369.03,2024-01-31
A00G31,271119.96,2024-02-29
A00G31,279095.54,2024-03-28
A00G31,267763.74,2024-04-30
A00G31,274119.96,2024-05-31
A00G31,280536.45,2024-06-28
A00G33,41686.39,2022-03-31
A00G33,39584.05,2022-04-29
A00G33,39429.93,2022-05-31
A00G33,36469.52,2022-06-30
A00G33,38587.25,2022-07-29
A00G33,37513.72,2022-08-31
A00G33,34826.38,2022-09-30
A00G33,36771.11,2022-10-31
A00G33,38970.84,2022-11-30
A00G33,36928.93,2022-12-30
A00G33,39507.89,2023-01-31
A00G33,38549.40,2023-02-28
A00G33,39226.88,2023-03-31
A00G33,39903.18,2023-04-28
A00G33,39208.61,2023-05-31
A00G33,41022.89,2023-06-30
A00G33,42061.81,2023-07-31
A00G33,41289.72,2023-08-31
A00G33,39683.31,2023-09-29
A00G33,38601.96,2023-10-31
A00G33,41654.16,2023-11-30
A00G33,42979.52,2023-12-29
A00G33,43511.20,2024-01-31
A00G33,45225.20,2024-02-29
A00G33,46740.04,2024-03-28
A00G33,45326.00,2024-04-30
A00G33,46917.64,2024-05-31
A00G33,47657.78,2024-06-28
A00I10,223617.05,2022-04-29
A00I10,223996.35,2022-05-31
A00I10,206403.09,2022-06-30
A00I10,225441.05,2022-07-29
A00I10,221149.83,2022-08-31
A00I10,211425.55,2022-09-30
A00I10,221075.15,2022-10-31
A00I10,235001.57,2022-11-30
A00I10,221028.12,2022-12-30
A00I10,234429.79,2023-01-31
A00I10,231639.15,2023-02-28
A00I10,231773.14,2023-03-31
A00I10,232890.65,2023-04-28
A00I10,226804.64,2023-05-31
A00I10,238755.05,2023-06-30
A00I10,244582.71,2023-07-31
A00I10,241948.45,2023-08-31
A00I10,230473.27,2023-09-29
A00I10,224095.36,2023-10-31
A00I10,243963.02,2023-11-30
A00I10,255485.00,2023-12-29
A00I10,256911.23,2024-01-31
A00I10,271181.83,2024-02-29
A00I10,279307.48,2024-03-28
A00I10,268279.07,2024-04-30
A00I10,274381.48,2024-05-31
A00I10,292341.11,2024-06-28
A00I11,155135.30,2022-04-29
A00I11,155154.87,2022-05-31
A00I11,143098.30,2022-06-30
A00I11,155850.04,2022-07-29
A00I11,152971.08,2022-08-31
A00I11,146059.31,2022-09-30
A00I11,152940.46,2022-10-31
A00I11,162284.99,2022-11-30
A00I11,152923.67,2022-12-30
A00I11,161524.16,2023-01-31
A00I11,159763.33,2023-02-28
A00I11,160599.43,2023-03-31
A00I11,161262.18,2023-04-28
A00I11,157088.27,2023-05-31
A00I11,165305.36,2023-06-30
A00I11,169665.70,2023-07-31
A00I11,168315.08,2023-08-31
A00I11,160492.43,2023-09-29
A00I11,155628.55,2023-10-31
A00I11,169387.55,2023-11-30
A00I11,177626.41,2023-12-29
A00I11,178633.07,2024-01-31
A00I11,188833.91,2024-02-29
A00I11,194675.18,2024-03-28
A00I11,187076.35,2024-04-30
A00I11,191452.83,2024-05-31
A00I11,197163.01,2024-06-28
A00I15,77374.49,2022-04-29
A00I15,77038.92,2022-05-31
A00I15,70740.84,2022-06-30
A00I15,75533.55,2022-07-29
A00I15,73129.95,2022-08-31
A00I15,67831.56,2022-09-30
A00I15,72328.37,2022-10-31
A00I15,75916.24,2022-11-30
A00I15,71699.59,2022-12-30
A00I15,96614.56,2023-01-31
A00I15,93992.81,2023-02-28
A00I15,96634.31,2023-03-31
A00I15,100238.84,2023-04-28
A00I15,98059.84,2023-05-31
A00I15,104671.38,2023-06-30
A00I15,107109.25,2023-07-31
A00I15,105014.42,2023-08-31
A00I15,99564.36,2023-09-29
A00I15,96927.32,2023-10-31
A00I15,107535.49,2023-11-30
A00I15,138687.19,2023-12-29
A00I15,139054.63,2024-01-31
A00I15,144443.47,2024-02-29
A00I15,150310.32,2024-03-28
A00I15,142816.34,2024-04-30
A00I15,147497.66,2024-05-31
A00I15,134735.07,2024-06-28
A00MR0,250904.43,2022-05-31
A00MR0,238750.87,2022-06-30
A00MR0,253140.29,2022-07-29
A00MR0,247913.59,2022-08-31
A00MR0,237830.44,2022-09-30
A00MR0,247570.15,2022-10-31
A00MR0,262183.49,2022-11-30
A00MR0,247812.62,2022-12-30
A00MR0,263020.64,2023-01-31
A00MR0,259964.11,2023-02-28
A00MR0,260691.29,2023-03-31
A00MR0,262475.98,2023-04-28
A00MR0,256318.86,2023-05-31
A00MR0,269881.38,2023-06-30
A00MR0,277032.46,2023-07-31
A00MR0,274019.29,2023-08-31
A00MR0,163565.73,2023-09-29
A00MR0,158917.28,2023-10-31
A00MR0,173334.25,2023-11-30
A00MR0,181763.54,2023-12-29
A00MR0,183256.69,2024-01-31
A00MR0,193215.72,2024-02-29
A00MR0,199363.20,2024-03-28
A00MR0,191600.06,2024-04-30
A00MR0,195695.00,2024-05-31
A00MR0,200693.30,2024-06-28
A01BW0,409527.25,2023-05-31
A01BW0,415754.41,2023-06-30
A01BW0,407521.12,2023-07-31
A01BW0,414888.55,2023-08-31
A01BW0,383329.08,2023-09-29
A01BW0,380355.36,2023-10-31
A01BW0,405731.39,2023-11-30
A01BW0,421368.37,2023-12-29
A01BW0,416998.28,2024-01-31
A01BW0,432560.34,2024-02-29
A01BW0,431488.33,2024-03-28
A01BW0,418144.08,2024-04-30
A01BW0,421636.43,2024-05-31
A01BW0,414954.47,2024-06-28
A01BW5,124648.02,2023-05-31
A01BW5,125314.32,2023-06-30
A01BW5,126580.11,2023-07-31
A01BW5,125703.35,2023-08-31
A01BW5,121247.48,2023-09-29
A01BW5,117649.99,2023-10-31
A01BW5,127697.21,2023-11-30
A01BW5,133782.94,2023-12-29
A01BW5,141323.49,2024-01-31
A01BW5,148708.38,2024-02-29
A01BW5,153062.75,2024-03-28
A01BW5,147217.87,2024-04-30
A01BW5,150330.18,2024-05-31
A01BW5,153250.63,2024-06-28
A01BW6,492826.84,2023-05-31
A01BW6,498934.56,2023-06-30
A01BW6,489527.15,2023-07-31
A01BW6,497683.20,2023-08-31
A01BW6,487250.47,2023-09-29
A01BW6,482226.16,2023-10-31
A01BW6,510806.48,2023-11-30
A01BW6,532073.25,2023-12-29
A01BW6,531258.54,2024-01-31
A01BW6,543606.43,2024-02-29
A01BW6,545227.79,2024-03-28
A01BW6,526260.00,2024-04-30
A01BW6,537766.50,2024-05-31
A01BW6,534801.17,2024-06-28
A01BX1,2287.25,2023-06-30
A01BX1,2318.40,2023-07-31
A01BX1,2300.73,2023-08-31
A01BX1,2215.70,2023-09-29
A01BX1,2151.88,2023-10-31
A01BX1,2333.01,2023-11-30
A01BX1,2422.99,2023-12-29
A01BX1,2453.58,2024-01-31
A01BX1,2545.11,2024-02-29
A01BX1,2629.07,2024-03-28
A01BX1,2537.01,2024-04-30
A01BX1,6965.78,2024-05-31
A01BX1,22005.79,2024-06-28
A01BX5,43682.95,2023-05-31
A01BX5,43888.03,2023-06-30
A01BX5,44495.24,2023-07-31
A01BX5,44062.89,2023-08-31
A01BX5,42841.09,2023-09-29
A01BX5,41578.91,2023-10-31
A01BX5,44740.39,2023-11-30
A01BX5,46049.97,2023-12-29
A01BX5,53740.81,2024-01-31
A01BX5,55662.33,2024-02-29
A01BX5,57307.16,2024-03-28
A01BX5,55828.21,2024-04-30
A01BX5,57586.45,2024-05-31
A01BX5,58423.27,2024-06-28
A01BY0,619239.61,2023-05-31
A01BY0,626061.73,2023-06-30
A01BY0,617017.07,2023-07-31
A01BY0,624808.80,2023-08-31
A01BY0,608917.05,2023-09-29
A01BY0,596578.45,2023-10-31
A01BY0,636956.12,2023-11-30
A01BY0,664121.28,2023-12-29
A01BY0,658264.89,2024-01-31
A01BY0,682681.23,2024-02-29
A01BY0,699556.60,2024-03-28
A01BY0,675761.21,2024-04-30
A01BY0,687263.42,2024-05-31
A01BY0,700872.68,2024-06-28
A01GN0,595319.13,2023-08-31
A01GN0,574631.40,2023-09-29
A01GN0,550585.79,2023-10-31
A01GN0,584185.24,2023-11-30
A01GN0,610217.54,2023-12-29
A01GN0,610775.54,2024-01-31
A01GN0,620904.16,2024-02-29
A01GN0,629664.23,2024-03-28
A01GN0,602981.85,2024-04-30
A01GN0,617415.06,2024-05-31
A01GN0,620183.74,2024-06-28
A01GN5,69501.50,2023-08-31
A01GN5,68336.91,2023-09-29
A01GN5,66803.35,2023-10-31
A01GN5,71267.51,2023-11-30
A01GN5,73270.37,2023-12-29
A01GN5,73917.88,2024-01-31
A01GN5,76264.04,2024-02-29
A01GN5,78352.43,2024-03-28
A01GN5,76270.90,2024-04-30
A01GN5,78630.19,2024-05-31
A01GN5,79852.20,2024-06-28
A01RG0,241748.38,2023-10-31
A01RG0,258373.92,2023-11-30
A01RG0,270334.19,2023-12-29
A01RG0,271933.08,2024-01-31
A01RG0,286085.47,2024-02-29
A01RG0,294876.23,2024-03-28
A01RG0,283243.48,2024-04-30
A01RG0,289129.59,2024-05-31
A01RG0,296339.06,2024-06-28
A01RG5,18273.73,2023-10-31
A01RG5,19523.90,2023-11-30
A01RG5,20280.19,2023-12-29
A01RG5,20540.32,2024-01-31
A01RG5,21300.16,2024-02-29
A01RG5,22006.19,2024-03-28
A01RG5,21232.30,2024-04-30
A01RG5,22013.48,2024-05-31
A01RG5,22337.76,2024-06-28
A022R0,99028.32,2024-01-31
A022R0,101632.27,2024-02-29
A022R0,104247.64,2024-03-28
A022R0,101038.00,2024-04-30
A022R0,103027.59,2024-05-31
A022R0,379822.48,2024-06-28
A02AL0,893689.91,2024-03-28
A02AL0,881702.16,2024-04-30
A02AL0,888826.29,2024-05-31
A02AL0,896954.26,2024-06-28
A02AN1,132796.91,2024-03-28
A02AN1,129773.66,2024-04-30
A02AN1,132407.40,2024-05-31
A02AN1,133084.78,2024-06-28
A02AN2,1651.68,2024-03-28
A02AN2,1651.53,2024-04-30
A02AN2,1651.38,2024-05-31
A02AN2,1647.43,2024-06-28
A02AN3,89940.31,2024-03-28
A02AN3,87825.74,2024-04-30
A02AN3,89714.25,2024-05-31
A02AN3,90096.40,2024-06-28
A02AN5,99506.19,2024-03-28
A02AN5,97086.23,2024-04-30
A02AN5,98492.43,2024-05-31
A02AN5,100325.96,2024-06-28
A02AO5,101137.34,2024-03-28
A02AO5,98717.58,2024-04-30
A02AO5,100123.63,2024-05-31
A02AO5,101957.02,2024-06-28
A02AO6,140682.63,2024-03-28
A02AO6,137398.31,2024-04-30
A02AO6,140047.32,2024-05-31
A02AO6,140670.84,2024-06-28
A02CV0,284353.71,2023-10-31
A02CV0,300441.10,2023-11-30
A02CV0,313076.59,2023-12-29
A02CV0,313565.58,2024-01-31
A02CV0,325323.23,2024-02-29
A02CV0,333714.58,2024-03-28
A02CV0,322725.05,2024-04-30
A02CV0,329170.35,2024-05-31
A02CV0,336392.25,2024-06-28
A02HM0,794484.46,2024-05-31
A02HM0,811696.51,2024-06-28
A02MU0,300396.73,2024-06-28
A7A010,462972.66,2019-01-31
A7A010,212852.71,2019-02-28
A7A010,513033.50,2019-03-29
A7A010,525708.96,2019-04-30
A7A010,511339.25,2019-05-31
A7A010,521350.27,2019-06-28
A7A010,526170.71,2019-07-31
A7A010,527203.69,2019-08-30
A7A010,534926.30,2019-09-30
A7A010,534918.56,2019-10-31
A7A010,545554.16,2019-11-29
A7A010,544877.78,2019-12-31
A7A010,559016.80,2020-01-31
A7A010,538084.59,2020-02-28
A7A010,497001.66,2020-03-31
A7A010,524745.64,2020-04-30
A7A010,513228.36,2020-05-29
A7A010,541640.44,2020-06-30
A7A010,558327.87,2020-07-31
A7A010,550640.75,2020-08-31
A7A010,563858.07,2020-09-30
A7A010,552044.49,2020-10-30
A7A010,586188.08,2020-11-30
A7A010,596535.47,2020-12-31
A7A010,593558.70,2021-01-29
A7A010,634392.40,2021-02-26
A7A010,659306.44,2021-03-31
A7A010,668996.89,2021-04-30
A7A010,674954.08,2021-05-31
A7A010,686784.03,2021-06-30
A7A010,701298.71,2021-07-30
A7A010,717664.21,2021-08-31
A7A010,703526.91,2021-09-30
A7A010,720459.34,2021-10-29
A7A010,726506.02,2021-11-30
A7A010,751402.04,2021-12-31
A7A010,728586.52,2022-01-31
A7A010,716231.29,2022-02-28
A7A010,804931.18,2022-03-31
A7A010,769408.99,2022-04-29
A7A010,763279.32,2022-05-31
A7A010,728001.86,2022-06-30
A7A010,764757.51,2022-07-29
A7A010,752705.05,2022-08-31
A7A010,725247.60,2022-09-30
A7A010,749570.01,2022-10-31
A7A010,774454.96,2022-11-30
A7A010,744555.20,2022-12-30
A7A010,776908.46,2023-01-31
A7A010,765859.10,2023-02-28
A7A010,769553.81,2023-03-31
A7A010,780080.65,2023-04-28
A7A010,757006.15,2023-05-31
A7A010,777881.64,2023-06-30
A7A010,785888.58,2023-07-31
A7A010,777617.19,2023-08-31
A7A010,755314.43,2023-09-29
A7A010,745019.74,2023-10-31
A7A010,788542.96,2023-11-30
A7A010,816630.21,2023-12-29
A7A010,867023.17,2024-01-31
A7A010,876016.99,2024-02-29
A7A010,882073.95,2024-03-28
A7A010,853574.53,2024-04-30
A7A010,872059.94,2024-05-31
A7A010,879047.46,2024-06-28
A7A020,8197.69,2019-01-31
A7A020,13155.44,2019-02-28
A7A020,404215.36,2019-03-29
A7A020,422562.88,2019-04-30
A7A020,396389.81,2019-05-31
A7A020,411214.70,2019-06-28
A7A020,417674.32,2019-07-31
A7A020,412593.72,2019-08-30
A7A020,421587.70,2019-09-30
A7A020,426291.40,2019-10-31
A7A020,441818.98,2019-11-29
A7A020,442108.65,2019-12-31
A7A020,452220.00,2020-01-31
A7A020,424683.55,2020-02-28
A7A020,382284.38,2020-03-31
A7A020,417279.85,2020-04-30
A7A020,433006.49,2020-05-29
A7A020,445716.46,2020-06-30
A7A020,465745.69,2020-07-31
A7A020,462580.81,2020-08-31
A7A020,477404.48,2020-09-30
A7A020,467623.60,2020-10-30
A7A020,513301.96,2020-11-30
A7A020,523552.72,2020-12-31
A7A020,521594.75,2021-01-29
A7A020,532866.07,2021-02-26
A7A020,561060.15,2021-03-31
A7A020,578080.08,2021-04-30
A7A020,583082.86,2021-05-31
A7A020,293441.36,2021-06-30
A7A020,298950.12,2021-07-30
A7A020,310700.71,2021-08-31
A7A020,300778.04,2021-09-30
A7A020,312429.95,2021-10-29
A7A020,316966.57,2021-11-30
A7A020,529725.81,2021-12-31
A7A020,506417.73,2022-01-31
A7A020,496502.23,2022-02-28
A7A020,504054.77,2022-03-31
A7A020,466100.11,2022-04-29
A7A020,466194.49,2022-05-31
A7A020,428437.84,2022-06-30
A7A020,467948.21,2022-07-29
A7A020,459071.18,2022-08-31
A7A020,438432.76,2022-09-30
A7A020,459367.15,2022-10-31
A7A020,488942.96,2022-11-30
A7A020,459718.97,2022-12-30
A7A020,486802.55,2023-01-31
A7A020,480943.88,2023-02-28
A7A020,482090.20,2023-03-31
A7A020,485003.05,2023-04-28
A7A020,473283.20,2023-05-31
A7A020,498256.59,2023-06-30
A7A020,511001.54,2023-07-31
A7A020,506105.63,2023-08-31
A7A020,481880.76,2023-09-29
A7A020,469182.30,2023-10-31
A7A020,510718.98,2023-11-30
A7A020,534543.36,2023-12-29
A7A020,538070.28,2024-01-31
A7A020,566569.41,2024-02-29
A7A020,584451.66,2024-03-28
A7A020,561831.46,2024-04-30
A7A020,574907.00,2024-05-31
A7A020,589347.22,2024-06-28
A7A040,295534.56,2019-05-31
A7A040,300878.54,2019-06-28
A7A040,305599.63,2019-07-31
A7A040,302531.77,2019-08-30
A7A040,308096.49,2019-09-30
A7A040,310743.68,2019-10-31
A7A040,320299.91,2019-11-29
A7A040,320308.03,2019-12-31
A7A040,327248.87,2020-01-31
A7A040,310227.93,2020-02-28
A7A040,282860.60,2020-03-31
A7A040,306043.91,2020-04-30
A7A040,315873.10,2020-05-29
A7A040,324307.75,2020-06-30
A7A040,336904.52,2020-07-31
A7A040,334033.85,2020-08-31
A7A040,343965.39,2020-09-30
A7A040,337611.66,2020-10-30
A7A040,637979.93,2020-11-30
A7A040,648153.62,2020-12-31
A7A040,646018.26,2021-01-29
A7A040,655786.77,2021-02-26
A7A040,684670.75,2021-03-31
A7A040,702706.61,2021-04-30
A7A040,708199.84,2021-05-31
A7A040,732202.51,2021-06-30
A7A040,752827.28,2021-07-30
A7A040,779505.38,2021-08-31
A7A040,756195.61,2021-09-30
A7A040,781910.50,2021-10-29
A7A040,793028.39,2021-11-30
A7A040,817687.29,2021-12-31
A7A040,781933.34,2022-01-31
A7A040,767213.44,2022-02-28
A7A040,776143.14,2022-03-31
A7A040,721334.65,2022-04-29
A7A040,721538.07,2022-05-31
A7A040,669617.59,2022-06-30
A7A040,725336.82,2022-07-29
A7A040,711214.71,2022-08-31
A7A040,683069.76,2022-09-30
A7A040,710209.52,2022-10-31
A7A040,751382.86,2022-11-30
A7A040,710424.65,2022-12-30
A7A040,748694.64,2023-01-31
A7A040,738636.18,2023-02-28
A7A040,742558.83,2023-03-31
A7A040,746768.39,2023-04-28
A7A040,729587.88,2023-05-31
A7A040,762473.85,2023-06-30
A7A040,779218.27,2023-07-31
A7A040,772528.20,2023-08-31
A7A040,737987.32,2023-09-29
A7A040,720452.08,2023-10-31
A7A040,779109.31,2023-11-30
A7A040,813245.36,2023-12-29
A7A040,816830.99,2024-01-31
A7A040,854487.15,2024-02-29
A7A040,878920.91,2024-03-28
A7A040,847256.19,2024-04-30
A7A040,866326.35,2024-05-31
A7A040,886774.95,2024-06-28
A7A041,263163.48,2021-03-31
A7A041,267420.33,2021-04-30
A7A041,269801.10,2021-05-31
A7A041,277428.06,2021-06-30
A7A041,284169.55,2021-07-30
A7A041,293275.04,2021-08-31
A7A041,285106.14,2021-09-30
A7A041,293735.78,2021-10-29
A7A041,297096.37,2021-11-30
A7A041,306180.84,2021-12-31
A7A041,293569.17,2022-01-31
A7A041,288749.02,2022-02-28
A7A041,304908.87,2022-03-31
A7A041,284665.33,2022-04-29
A7A041,284233.24,2022-05-31
A7A041,264403.29,2022-06-30
A7A041,285503.13,2022-07-29
A7A041,279708.43,2022-08-31
A7A041,268991.86,2022-09-30
A7A041,278901.39,2022-10-31
A7A041,293774.61,2022-11-30
A7A041,279187.53,2022-12-30
A7A041,293524.87,2023-01-31
A7A041,290156.85,2023-02-28
A7A041,291720.69,2023-03-31
A7A041,292847.49,2023-04-28
A7A041,286226.78,2023-05-31
A7A041,298636.70,2023-06-30
A7A041,303825.82,2023-07-31
A7A041,301519.30,2023-08-31
A7A041,289226.51,2023-09-29
A7A041,282659.90,2023-10-31
A7A041,304908.51,2023-11-30
A7A041,317994.72,2023-12-29
A7A041,318781.87,2024-01-31
A7A041,333902.31,2024-02-29
A7A041,342258.61,2024-03-28
A7A041,329667.54,2024-04-30
A7A041,337045.18,2024-05-31
A7A041,344407.92,2024-06-28
A7A045,93591.55,2021-03-31
A7A045,95582.16,2021-04-30
A7A045,95991.03,2021-05-31
A7A045,99406.30,2021-06-30
A7A045,102342.24,2021-07-30
A7A045,105923.84,2021-08-31
A7A045,102727.75,2021-09-30
A7A045,105974.50,2021-10-29
A7A045,107433.96,2021-11-30
A7A045,110216.55,2021-12-31
A7A045,105038.91,2022-01-31
A7A045,103123.27,2022-02-28
A7A045,104521.69,2022-03-31
A7A045,97162.72,2022-04-29
A7A045,96729.29,2022-05-31
A7A045,90063.98,2022-06-30
A7A045,97907.30,2022-07-29
A7A045,95611.19,2022-08-31
A7A045,91728.70,2022-09-30
A7A045,94823.79,2022-10-31
A7A045,99843.45,2022-11-30
A7A045,94781.57,2022-12-30
A7A045,99839.78,2023-01-31
A7A045,98488.02,2023-02-28
A7A045,99429.09,2023-03-31
A7A045,99806.23,2023-04-28
A7A045,97958.73,2023-05-31
A7A045,102230.54,2023-06-30
A7A045,104156.80,2023-07-31
A7A045,103697.57,2023-08-31
A7A045,99283.21,2023-09-29
A7A045,97224.46,2023-10-31
A7A045,104754.19,2023-11-30
A7A045,109216.27,2023-12-29
A7A045,109860.93,2024-01-31
A7A045,115065.64,2024-02-29
A7A045,118098.56,2024-03-28
A7A045,113784.93,2024-04-30
A7A045,116253.01,2024-05-31
A7A045,119027.51,2024-06-28
A7A050,608719.90,2019-08-30
A7A050,615104.78,2019-09-30
A7A050,615183.79,2019-10-31
A7A050,623613.09,2019-11-29
A7A050,622544.83,2019-12-31
A7A050,636440.18,2020-01-31
A7A050,619333.00,2020-02-28
A7A050,580945.56,2020-03-31
A7A050,610008.01,2020-04-30
A7A050,618853.63,2020-05-29
A7A050,628273.96,2020-06-30
A7A050,642584.97,2020-07-31
A7A050,635384.20,2020-08-31
A7A050,647697.53,2020-09-30
A7A050,635800.98,2020-10-30
A7A050,669656.87,2020-11-30
A7A050,680727.59,2020-12-31
A7A050,677748.36,2021-01-29
A7A050,674879.86,2021-02-26
A7A050,697834.10,2021-03-31
A7A050,706853.47,2021-04-30
A7A050,713492.49,2021-05-31
A7A050,726300.50,2021-06-30
A7A050,741070.97,2021-07-30
A7A050,756210.14,2021-08-31
A7A050,740524.21,2021-09-30
A7A050,755091.45,2021-10-29
A7A050,762520.74,2021-11-30
A7A050,788488.19,2021-12-31
A7A050,765268.87,2022-01-31
A7A050,749576.01,2022-02-28
A7A050,755018.10,2022-03-31
A7A050,721154.17,2022-04-29
A7A050,715285.30,2022-05-31
A7A050,681822.09,2022-06-30
A7A050,718376.68,2022-07-29
A7A050,706469.26,2022-08-31
A7A050,679654.99,2022-09-30
A7A050,702360.23,2022-10-31
A7A050,726497.61,2022-11-30
A7A050,698008.68,2022-12-30
A7A050,728816.91,2023-01-31
A7A050,718230.45,2023-02-28
A7A050,721535.00,2023-03-31
A7A050,731242.99,2023-04-28
A7A050,709164.28,2023-05-31
A7A050,728435.35,2023-06-30
A7A050,737349.99,2023-07-31
A7A050,728760.73,2023-08-31
A7A050,707403.99,2023-09-29
A7A050,697703.71,2023-10-31
A7A050,738219.48,2023-11-30
A7A050,766656.23,2023-12-29
A7A050,767240.58,2024-01-31
A7A050,786376.64,2024-02-29
A7A050,800429.45,2024-03-28
A7A050,774683.39,2024-04-30
A7A050,791408.91,2024-05-31
A7A050,799114.10,2024-06-28
A7A060,496917.85,2020-01-31
A7A060,474212.75,2020-02-28
A7A060,446835.52,2020-03-31
A7A060,467998.74,2020-04-30
A7A060,464011.38,2020-05-29
A7A060,480648.31,2020-06-30
A7A060,493588.05,2020-07-31
A7A060,487530.95,2020-08-31
A7A060,497748.48,2020-09-30
A7A060,487722.12,2020-10-30
A7A060,517004.36,2020-11-30
A7A060,525805.71,2020-12-31
A7A060,523178.61,2021-01-29
A7A060,522031.31,2021-02-26
A7A060,542796.46,2021-03-31
